ICD10,ICD9,Flag
A5442,09850,00000
A5443,09859,10000
A5449,09851,10000
A5449,09852,10000
A545,0986,00000
A546,0987,00000
A5481,09882,00000
A5482,09889,10000
A5483,09883,10000
A5483,09884,10000
A5483,09885,10000
A5484,09889,10000
A5485,09886,00000
A5486,09889,10111
A5486,99591,10112
A5489,09881,10000
A5489,09889,10000
A549,09889,10000
A55,0991,00000
A5600,09953,10000
A5601,09953,10111
A5601,5954,10112
A5602,09953,10111
A5602,61611,10112
A5609,09953,10000
A5611,09954,10111
A5611,6149,10112
A5619,09954,10000
A562,09955,00000
A563,09952,00000
A564,09951,00000
A568,09959,10000
A57,0990,00000
A58,0992,00000
A5900,13100,00000
A5901,13101,00000
A5902,13103,00000
A5903,13102,10000
A5909,13109,00000
A598,1318,00000
A599,1319,00000
A6000,05410,10000
A6001,05413,00000
A6002,05419,10000
A6003,05419,10000
A6004,05411,10000
A6004,05412,10000
A6009,05419,10000
A601,05419,10000
A609,05410,10000
A630,07811,00000
A638,0998,10000
A64,0999,00000
A65,1040,00000
A660,1020,00000
A661,1021,00000
A662,1022,00000
A663,1023,00000
A664,1024,00000
A665,1025,00000
A666,1026,00000
A667,1027,00000
A668,1028,00000
A669,1029,00000
A670,1030,00000
A671,1031,00000
A672,1032,00000
A673,1033,00000
A679,1039,00000
A680,0870,00000
A681,0871,00000
A689,0879,00000
A690,101,10000
A690,5281,10000
A691,101,10000
A6920,08881,10000
A6921,08881,10000
A6922,08881,10000
A6923,08881,10000
A6929,08881,10000
A698,1048,00000
A699,1049,00000
A70,0739,10000
A710,0760,00000
A711,0761,00000
A719,0769,00000
A740,0770,10000
A740,07798,10000
A7481,07988,10000
A7489,07888,10000
A749,07998,10000
A750,080,00000
A751,0811,00000
A752,0810,00000
A753,0812,00000
A759,0819,00000
A770,0820,10000
A771,0821,00000
A772,0822,00000
A773,0823,00000
A7740,08240,00000
A7741,08241,00000
A7749,08249,00000
A778,0828,10000
A779,0820,10000
A78,0830,00000
A790,0831,00000
A791,0832,10000
A7981,0838,10000
A7989,0838,10000
A799,0839,10000
A800,04510,10000
A801,04510,10000
A802,04510,10000
A8030,04510,10000
A8039,04510,10000
A804,04520,10000
A809,04590,10000
A8100,04619,10000
A8101,04611,00000
A8109,04619,10000
A811,0462,00000
A812,0463,10000
A8181,0460,00000
A8182,04671,00000
A8183,04672,00000
A8189,04679,10000
A8189,0468,10000
A819,0469,00000
A820,071,10000
A821,071,10000
A829,071,10000
A830,0620,00000
A831,0621,00000
A832,0622,00000
A833,0623,00000
A834,0624,00000
A835,0625,00000
A836,0628,10000
A838,0628,10000
A839,0629,00000
A840,0630,00000
A841,0632,00000
A848,0631,10000
A848,0638,10000
A849,0639,00000
A850,0498,10000
A851,0498,10000
A852,064,00000
A858,0498,10000
A86,0499,10000
A870,0470,10000
A870,0471,10000
A870,0478,10000
A871,0491,00000
A872,0490,00000
A878,0478,10000
A879,0479,10000
A880,048,10000
A881,07881,00000
A888,0498,10000
A89,0499,10000
A90,061,00000
A91,0654,10000
A920,0654,10000
A920,0663,10000
A921,0663,10000
A922,0662,00000
A9230,06640,00000
