ICD10,ICD9,Flag
I776,4476,00000
I7770,44329,10000
I7771,44321,00000
I7772,44322,00000
I7773,44323,00000
I7774,44324,00000
I7775,44329,10000
I7776,44329,10000
I7777,44329,10000
I7779,44329,10000
I77810,44771,00000
I77811,44772,00000
I77812,44773,00000
I77819,44770,00000
I7789,4478,10000
I779,4479,00000
I780,4480,00000
I781,4481,00000
I788,4489,10000
I789,4489,10000
I790,4419,10000
I791,44381,10000
I798,44381,10000
I8000,4510,10000
I8001,4510,10000
I8002,4510,10000
I8003,4510,10000
I8010,45111,10000
I8011,45111,10000
I8012,45111,10000
I8013,45111,10000
I80201,45119,10000
I80202,45119,10000
I80203,45119,10000
I80209,45119,10000
I80211,45181,10000
I80212,45181,10000
I80213,45181,10000
I80219,45181,10000
I80221,45119,10000
I80222,45119,10000
I80223,45119,10000
I80229,45119,10000
I80231,45119,10000
I80232,45119,10000
I80233,45119,10000
I80239,45119,10000
I80291,45119,10000
I80292,45119,10000
I80293,45119,10000
I80299,45119,10000
I803,4512,00000
I808,45189,10000
I809,4519,00000
I81,452,00000
I820,4530,00000
I821,4531,00000
I82210,45387,10000
I82211,45377,10000
I82220,4532,10000
I82221,4532,10000
I82290,45387,10000
I82291,45377,10000
I823,4533,00000
I82401,45340,10000
I82402,45340,10000
I82403,45340,10000
I82409,45340,10000
I82411,45341,10000
I82412,45341,10000
I82413,45341,10000
I82419,45341,10000
I82421,45341,10000
I82422,45341,10000
I82423,45341,10000
I82429,45341,10000
I82431,45341,10000
I82432,45341,10000
I82433,45341,10000
I82439,45341,10000
I82441,45342,10000
I82442,45342,10000
I82443,45342,10000
I82449,45342,10000
I82491,45342,10000
I82492,45342,10000
I82493,45342,10000
I82499,45342,10000
I824Y1,45341,10000
I824Y2,45341,10000
I824Y3,45341,10000
I824Y9,45341,10000
I824Z1,45342,10000
I824Z2,45342,10000
I824Z3,45342,10000
I824Z9,45342,10000
I82501,45350,10000
I82502,45350,10000
I82503,45350,10000
I82509,45350,10000
I82511,45351,10000
I82512,45351,10000
I82513,45351,10000
I82519,45351,10000
I82521,45351,10000
I82522,45351,10000
I82523,45351,10000
I82529,45351,10000
I82531,45351,10000
I82532,45351,10000
I82533,45351,10000
I82539,45351,10000
I82541,45352,10000
I82542,45352,10000
I82543,45352,10000
I82549,45352,10000
I82591,45350,10000
I82592,45350,10000
I82593,45350,10000
I82599,45350,10000
I825Y1,45351,10000
I825Y2,45351,10000
I825Y3,45351,10000
I825Y9,45351,10000
I825Z1,45352,10000
I825Z2,45352,10000
I825Z3,45352,10000
I825Z9,45352,10000
I82601,45383,10000
I82602,45383,10000
I82603,45383,10000
I82609,45383,10000
I82611,45381,10000
I82612,45381,10000
I82613,45381,10000
I82619,45381,10000
I82621,45382,10000
I82622,45382,10000
I82623,45382,10000
I82629,45382,10000
I82701,45373,10000
I82702,45373,10000
I82703,45373,10000
I82709,45373,10000
I82711,45371,10000
I82712,45371,10000
I82713,45371,10000
I82719,45371,10000
I82721,45372,10000
I82722,45372,10000
I82723,45372,10000
I82729,45372,10000
I82811,4536,10000
I82812,4536,10000
I82813,4536,10000
I82819,4536,10000
I82890,45389,10000
I82891,45379,10000
I8290,45389,10000
I8291,45379,10000
I82A11,45384,10000
I82A12,45384,10000
I82A13,45384,10000
I82A19,45384,10000
I82A21,45374,10000
I82A22,45374,10000
I82A23,45374,10000
I82A29,45374,10000
I82B11,45385,10000
I82B12,45385,10000
I82B13,45385,10000
I82B19,45385,10000
I82B21,45375,10000
I82B22,45375,10000
I82B23,45375,10000
I82B29,45375,10000
I82C11,45386,10000
I82C12,45386,10000
I82C13,45386,10000
I82C19,45386,10000
I82C21,45376,10000
I82C22,45376,10000
I82C23,45376,10000
I82C29,45376,10000
I83001,4540,10000
I83002,4540,10000
I83003,4540,10000
I83004,4540,10000
I83005,4540,10000
I83008,4540,10000
I83009,4540,10000
I83011,4540,10000
I83012,4540,10000
I83013,4540,10000
I83014,4540,10000
I83015,4540,10000
I83018,4540,10000
I83019,4540,10000
I83021,4540,10000
I83022,4540,10000
I83023,4540,10000
I83024,4540,10000
I83025,4540,10000
I83028,4540,10000
I83029,4540,10000
I8310,4541,10000
I8311,4541,10000
I8312,4541,10000
I83201,4542,10000
I83202,4542,10000
I83203,4542,10000
I83204,4542,10000
I83205,4542,10000
I83208,4542,10000
I83209,4542,10000
I83211,4542,10000
I83212,4542,10000
I83213,4542,10000
I83214,4542,10000
I83215,4542,10000
I83218,4542,10000
I83219,4542,10000
I83221,4542,10000
I83222,4542,10000
I83223,4542,10000
I83224,4542,10000
I83225,4542,10000
I83228,4542,10000
I83229,4542,10000
I83811,4548,10000
I83812,4548,10000
I83813,4548,10000
I83819,4548,10000
I83891,4548,10000
I83892,4548,10000
I83893,4548,10000
I83899,4548,10000
I8390,4549,10000
I8391,4549,10000
I8392,4549,10000
I8393,4549,10000
I8500,4561,00000
I8501,4560,00000
I8510,45621,00000
I8511,45620,00000
I860,4563,00000
I861,4564,00000
I862,4565,00000
I863,4566,00000
I864,4568,10000
I868,4568,10000
I87001,45910,10000
I87002,45910,10000
I87003,45910,10000
I87009,45910,10000
I87011,45911,10000
I87012,45911,10000
I87013,45911,10000
I87019,45911,10000
I87021,45912,10000
I87022,45912,10000
I87023,45912,10000
I87029,45912,10000
I87031,45913,10000
I87032,45913,10000
I87033,45913,10000
I87039,45913,10000
I87091,45919,10000
I87092,45919,10000
I87093,45919,10000
I87099,45919,10000
I871,4592,00000
I872,45981,10000
I87301,45930,10000
I87302,45930,10000
I87303,45930,10000
I87309,45930,10000
I87311,45931,10000
I87312,45931,10000
I87313,45931,10000
I87319,45931,10000
I87321,45932,10000
I87322,45932,10000
I87323,45932,10000
I87329,45932,10000
I87331,45933,10000
I87332,45933,10000
I87333,45933,10000
I87339,45933,10000
I87391,45939,10000
I87392,45939,10000
I87393,45939,10000
I87399,45939,10000
I878,45989,10000
I879,4599,10000
I880,2892,00000
I881,2891,00000
I888,2893,10000
I889,2893,10000
I890,4571,00000
I891,4572,00000
I898,4578,00000
I899,4579,00000
I950,4581,10000
I951,4580,00000
I952,45829,10000
I953,45821,00000
I9581,45829,10000
I9589,4581,10000
I9589,4588,10000
I959,4589,00000
I96,7854,10000
I970,4294,10000
I97110,4294,10000
I97110,4294,10112
I97110,9971,10111
I97111,4294,10000
I97111,4294,10112
I97111,9971,10111
I97120,4294,10000
I97120,4294,10112
I97120,9971,10111
I97121,4294,10000
I97121,4294,10112
I97121,9971,10111
I97130,4294,10000
I97130,4294,10112
I97130,9971,10111
I97131,4294,10000
I97131,4294,10112
I97131,9971,10111
I97190,4294,10000
I97190,4294,10112
I97190,9971,10111
I97191,4294,10000
I97191,4294,10112
I97191,9971,10111
I972,4570,00000
I973,99791,00000
I97410,99811,10000
I97410,99812,10000
I97411,99811,10000
I97411,99812,10000
I97418,99811,10000
I97418,99812,10000
I9742,99811,10000
I9742,99812,10000
I9751,9982,10000
I9752,9982,10000
I97610,99811,10000
I97611,99811,10000
I97618,99811,10000
I97620,99811,10000
I97621,99812,10000
I97622,99813,10000
I97630,99812,10000
I97631,99812,10000
I97638,99812,10000
I97640,99813,10000
I97641,99813,10000
I97648,99813,10000
I97710,9971,10000
I97711,9971,10000
I97790,9971,10000
I97791,9971,10000
I97810,99702,10000
I97811,99702,10000
I97820,99702,10000
I97821,99702,10000
I9788,9971,10000
I9789,9971,10000
I9789,99799,10000
I998,45989,10000
I999,4599,10000
J00,460,00000
J0100,4610,10000
J0101,4610,10000
J0110,4611,10000
J0111,4611,10000
J0120,4612,10000
J0121,4612,10000
J0130,4613,10000
J0131,4613,10000
J0140,4618,10000
J0141,4618,10000
J0180,4618,10000
J0181,4618,10000
J0190,4619,10000
J0191,4619,10000
J020,0340,10000
J028,462,10000
J029,462,10000
J0300,0340,10000
J0301,0340,10000
J0380,463,10000
J0381,463,10000
J0390,463,10000
J0391,463,10000
J040,46400,00000
J0410,46410,00000
J0411,46411,00000
J042,46420,00000
J0430,46450,00000
J0431,46451,00000
J050,46401,10000
J050,46421,10000
J050,4644,10000
J0510,46430,00000
J0511,46431,00000
J060,4650,00000
J069,4658,10000
J069,4659,10000
J09X1,48801,10000
J09X1,48881,10000
J09X2,48802,10000
J09X2,48882,10000
J09X3,48809,10000
J09X3,48889,10000
J09X9,48809,10000
J09X9,48819,10000
J09X9,48889,10000
J1000,4870,10000
J1001,4870,10000
J1008,4870,10000
J1008,48811,10000
J101,4871,10000
J101,48812,10000
J102,4878,10000
J1081,4878,10000
J1082,4878,10000
J1083,4878,10000
J1089,4878,10000
J1100,4870,10000
J1108,4870,10000
J111,4871,10000
J112,4878,10000
J1181,4878,10000
J1182,4878,10000
J1183,4878,10000
J1189,4878,10000
J120,4800,00000
J121,4801,00000
J122,4802,00000
J123,4808,10000
J1281,4803,00000
J1289,4808,10000
J129,4809,10000
J129,4870,10000
J13,481,10000
J14,4822,00000
J150,4820,00000
J151,4821,00000
J1520,48240,00000
J15211,48241,00000
J15212,48242,00000
J1529,48249,00000
J153,48232,00000
J154,48231,10000
J154,48239,10000
J155,48282,00000
J156,48283,00000
J157,4830,00000
J158,48281,10000
J158,48289,10000
J159,4829,00000
J160,4831,00000
J168,4838,00000
J17,4847,10000
J17,4848,10000
J17,5171,10000
J180,485,00000
J181,481,10000
J182,514,10000
J188,486,10000
J189,486,10000
J200,04181,10112
J200,4660,10111
J201,0415,10112
J201,4660,10111
J202,04100,10112
J202,4660,10111
J203,0792,10112
J203,4660,10111
J204,07989,10112
J204,4660,10111
J205,0796,10112
J205,4660,10111
J206,0793,10112
J206,4660,10111
J207,0791,10112
J207,4660,10111
J208,4660,10000
J209,4660,10000
J210,46611,00000
J211,46619,10000
J218,46619,10000
J219,46619,10000
J22,5198,10000
J300,4779,10000
J301,4770,00000
J302,4778,10000
J305,4771,00000
J3081,4772,00000
J3089,4778,10000
J309,4779,10000
J310,4720,00000
J311,4722,00000
J312,4721,00000
J320,4730,00000
J321,4731,00000
J322,4732,00000
J323,4733,00000
J324,4738,10000
J328,4738,10000
J329,4739,00000
J330,4710,00000
J331,4711,00000
J338,4718,00000
J339,4719,00000
J340,47819,10000
J341,47819,10000
J342,470,00000
J343,4780,00000
J3481,47811,00000
J3489,47819,10000
J349,47819,10000
J3501,47400,00000
J3502,47401,00000
J3503,47402,00000
J351,47411,00000
J352,47412,00000
J353,47410,00000
J358,4742,10000
J358,4748,10000
J359,4749,00000
J36,475,00000
J370,4760,00000
J371,4761,00000
J3800,47830,00000
J3801,47831,10000
J3801,47832,10000
J3802,47833,10000
J3802,47834,10000
J381,4784,00000
J382,4785,10000
J383,4785,10000
J384,4786,00000
J385,47875,00000
J386,47874,00000
J387,47871,10000
J387,47879,10000
J390,47822,10000
J390,47824,10000
J391,47821,10000
J392,47825,10000
J392,47826,10000
J392,47829,10000
J393,4788,00000
J398,4789,10000
J398,51919,10000
J399,4789,10000
J40,490,00000
J410,4910,00000
J411,4911,00000
J418,4918,10000
J42,4919,00000
J430,4928,10000
J431,4928,10000
J432,4928,10000
J438,4928,10000
J439,4920,10000
J439,4928,10000
J440,49122,10000
J440,49321,10000
J441,49121,10000
J441,49322,10000
J449,49120,10000
J449,49320,10000
J449,496,10000
J4520,49300,10000
J4520,49310,10000
J4521,49302,10000
J4521,49312,10000
J4522,49301,10000
J4522,49311,10000
J4530,49300,10000
J4530,49310,10000
J4531,49302,10000
J4531,49312,10000
J4532,49301,10000
J4532,49311,10000
J4540,49300,10000
J4540,49310,10000
J4541,49302,10000
J4541,49312,10000
J4542,49301,10000
J4542,49311,10000
J4550,49300,10000
J4550,49310,10000
J4551,49302,10000
J4551,49312,10000
J4552,49301,10000
J4552,49311,10000
J45901,49392,00000
J45902,49391,00000
J45909,49390,10000
J45990,49381,00000
J45991,49382,00000
J45998,49390,10000
J470,4941,10000
J471,4941,10000
J479,4940,00000
J60,500,00000
J61,501,10000
J620,502,10000
J628,502,10000
J630,503,10000
J631,503,10000
J632,503,10000
J633,503,10000
J634,503,10000
J635,503,10000
J636,503,10000
J64,505,10000
J65,505,10000
J660,504,10000
J661,504,10000
J662,504,10000
J668,504,10000
J670,4950,00000
J671,4951,00000
J672,4952,00000
J673,4953,00000
J674,4954,00000
J675,4955,00000
J676,4956,00000
J677,4957,00000
J678,4958,00000
J679,4959,00000
J680,5060,00000
J681,5061,00000
J682,5062,00000
J683,5063,00000
J684,5064,00000
J688,5069,10000
J689,5069,10000
J690,5070,00000
J691,5071,00000
J698,5078,00000
J700,5080,00000
J701,5081,00000
J702,5088,10000
J703,5088,10000
J704,5088,10000
J705,5082,00000
J708,5088,10000
J709,5089,00000
J80,51882,10000
J810,5184,00000
J811,514,10000
J82,5183,00000
J8401,5160,00000
J8402,5162,00000
J8403,5161,00000
J8409,5168,10000
J8410,515,10000
J84111,51630,00000
J84112,51631,00000
J84113,51632,00000
J84114,51633,00000
J84115,51634,00000
J84116,51636,00000
J84117,51637,00000
J8417,515,10000
J842,51635,00000
J8481,5164,00000
J8482,5165,00000
J8483,51663,00000
J84841,51661,00000
J84842,51662,00000
J84843,51664,00000
J84848,51669,00000
J8489,515,10000
J849,5169,10000
J850,5130,10000
J851,5130,10000
J852,5130,10000
J853,5131,00000
J860,5100,10000
J860,53084,10000
J869,5109,10000
J869,5110,10000
J90,5111,10000
J90,51189,10000
J910,51181,00000
J918,5119,10000
J920,5110,10000
J929,5110,10000
J930,5120,00000
J9311,51281,00000
J9312,51282,00000
J9381,51283,00000
J9382,51284,00000
J9383,51289,10000
J939,51289,10000
J940,51189,10000
J941,5110,10000
J942,5111,10000
J942,51189,10000
J948,5110,10000
J948,51189,10000
J949,5110,10000
J9500,51900,00000
J9501,51909,10000
J9502,51901,00000
J9503,51902,10000
J9503,51909,10000
J9504,51909,10000
J9509,51909,10000
J951,51852,10000
J952,51852,10000
J953,51852,10000
J954,99739,10000
J955,99739,10000
J9561,99811,10000
J9561,99812,10000
J9562,99811,10000
J9562,99812,10000
J9571,9982,10000
J9572,9982,10000
J95811,5121,10000
J95812,5122,00000
J95821,51851,10000
J95822,51853,10000
J95830,99811,10000
J95831,99811,10000
J9584,5187,00000
J95850,V4614,00000
J95851,99731,00000
J95859,99739,10000
J95860,99812,10000
J95861,99812,10000
J95862,99813,10000
J95863,99813,10000
J9588,99739,10000
J9589,99732,10000
J9589,99739,10000
J9600,51851,10000
J9600,51881,10000
J9601,51851,10000
J9601,51881,10000
J9602,51851,10000
J9602,51881,10000
J9610,51883,10000
J9611,51883,10000
J9612,51883,10000
J9620,51853,10000
J9620,51884,10000
J9621,51853,10000
J9621,51884,10000
J9622,51853,10000
J9622,51884,10000
J9690,51881,10000
J9691,51881,10000
J9692,51881,10000
J9801,51911,00000
J9809,51919,10000
J9811,5180,10000
J9819,5180,10000
J982,5181,00000
J983,5182,00000
J984,51889,00000
J9851,5192,00000
J9859,5193,10000
J986,5194,00000
J988,5198,10000
J989,5199,00000
J99,5178,10000
K000,5200,00000
K001,5201,00000
K002,5202,00000
K003,5203,00000
K004,5204,00000
K005,5205,00000
K006,5206,10000
K007,5207,00000
K008,5208,10000
K009,5209,00000
K010,5206,10000
K011,5206,10000
K023,52104,00000
K0251,52101,10112
K0251,52106,10111
K0252,52102,10112
K0252,52106,10111
K0253,52103,10112
K0253,52106,10111
K0261,52101,10111
K0261,52107,10112
K0262,52102,10111
K0262,52107,10112
K0263,52103,10111
K0263,52107,10112
K027,52108,00000
K029,52100,10000
K030,52110,10000
K031,52120,10000
K032,52130,10000
K033,52140,10000
K033,52141,10000
K033,52142,10000
K034,5215,00000
K035,5216,00000
K036,5236,00000
K037,5217,10000
K0381,52181,00000
K0389,52105,10000
K0389,52189,10000
K039,5219,00000
K0401,5220,10000
K0402,5220,10000
K041,5221,00000
K042,5222,00000
K043,5223,00000
K044,5224,00000
K045,5226,00000
K046,5227,00000
K047,5225,00000
K048,5228,00000
K0490,5229,10000
K0499,5229,10000
K0500,52300,00000
K0501,52301,00000
K0510,52310,00000
K0511,52311,00000
K0520,52330,10000
K0520,52333,10000
K05211,52331,10000
K05212,52331,10000
K05213,52331,10000
K05219,52331,10000
K05221,52332,10000
K05222,52332,10000
K05223,52332,10000
K05229,52332,10000
K0530,52340,00000
K05311,52341,10000
K05312,52341,10000
K05313,52341,10000
K05319,52341,10000
K05321,52342,10000
K05322,52342,10000
K05323,52342,10000
K05329,52342,10000
K054,5235,00000
K055,5238,10000
K056,5239,10000
K06010,52320,10112
K06010,52324,10111
K06011,52321,10112
K06011,52324,10111
K06012,52322,10112
K06012,52324,10111
K06013,52323,10112
K06013,52324,10111
K06020,52320,10112
K06020,52325,10111
K06021,52321,10112
K06021,52325,10111
K06022,52322,10112
K06022,52325,10111
K06023,52323,10112
K06023,52325,10111
K061,5238,10000
K062,5238,10000
K063,5238,10000
K068,5238,10000
K069,5239,10000
K080,5250,00000
K08101,52510,10112
K08101,52541,10111
K08102,52510,10112
K08102,52542,10111
K08103,52510,10112
K08103,52543,10111
K08104,52510,10112
K08104,52544,10111
K08109,52510,10112
K08109,52540,10111
K08111,52511,10112
K08111,52541,10111
K08112,52511,10112
K08112,52542,10111
K08113,52511,10112
K08113,52543,10111
K08114,52511,10112
K08114,52544,10111
K08119,52511,10112
K08119,52540,10111
K08121,52512,10112
K08121,52541,10111
K08122,52512,10112
K08122,52542,10111
K08123,52512,10112
K08123,52543,10111
K08124,52512,10112
K08124,52544,10111
K08129,52512,10112
K08129,52540,10111
K08131,52513,10112
K08131,52541,10111
K08132,52513,10112
K08132,52542,10111
K08133,52513,10112
K08133,52543,10111
K08134,52513,10112
K08134,52544,10111
K08139,52513,10112
K08139,52540,10111
K08191,52519,10112
K08191,52541,10111
K08192,52519,10112
K08192,52542,10111
K08193,52519,10112
K08193,52543,10111
K08194,52519,10112
K08194,52544,10111
K08199,52519,10112
K08199,52540,10111
K0820,52520,00000
K0821,52521,00000
K0822,52522,00000
K0823,52523,00000
K0824,52524,00000
K0825,52525,00000
K0826,52526,00000
K083,5253,00000
K08401,52510,10112
K08401,52551,10111
K08402,52510,10112
K08402,52552,10111
K08403,52510,10112
K08403,52553,10111
K08404,52510,10112
K08404,52554,10111
K08409,52510,10112
K08409,52550,10111
K08411,52511,10112
K08411,52551,10111
K08412,52511,10112
K08412,52552,10111
K08413,52511,10112
K08413,52553,10111
K08414,52511,10112
K08414,52554,10111
K08419,52511,10112
K08419,52550,10111
K08421,52512,10112
K08421,52551,10111
K08422,52512,10112
K08422,52552,10111
K08423,52512,10112
K08423,52553,10111
K08424,52512,10112
K08424,52554,10111
K08429,52512,10112
K08429,52550,10111
K08431,52513,10112
K08431,52551,10111
K08432,52513,10112
K08432,52552,10111
K08433,52513,10112
K08433,52553,10111
K08434,52513,10112
K08434,52554,10111
K08439,52513,10112
K08439,52550,10111
K08491,52519,10112
K08491,52551,10111
K08492,52519,10112
K08492,52552,10111
K08493,52519,10112
K08493,52553,10111
K08494,52519,10112
K08494,52554,10111
K08499,52519,10112
K08499,52550,10111
K0850,52560,00000
K0851,52561,00000
K0852,52562,00000
K08530,52563,00000
K08531,52564,00000
K08539,52569,10000
K0854,52565,00000
K0855,52566,00000
K0856,52567,00000
K0859,52569,10000
K0881,5258,10000
K0882,5258,10000
K0889,5258,10000
K089,5259,00000
K090,5260,00000
K091,5261,10000
K098,5284,10000
K099,5284,10000
K110,5270,00000
K111,5271,00000
K1120,5272,10000
K1121,5272,10000
K1122,5272,10000
K1123,5272,10000
K113,5273,00000
K114,5274,00000
K115,5275,00000
K116,5276,00000
K117,5277,10000
K118,5278,10000
K119,5279,00000
K120,5282,00000
K121,52809,10000
K122,52800,10000
K122,5283,10000
K122,6820,10000
K1230,52800,10000
K1231,52801,10000
K1232,52802,00000
K1233,52801,10000
K1239,52809,10000
K130,5285,00000
K131,5289,10000
K1321,5286,10000
K1322,52871,00000
K1323,52872,00000
K1324,52879,10000
K1329,52879,10000
K133,5286,10000
K134,5289,10000
K135,5288,00000
K136,5289,10000
K1370,5289,10000
K1379,5289,10000
K140,5290,00000
K141,5291,00000
K142,5292,00000
K143,5293,00000
K144,5294,00000
K145,5295,00000
K146,5296,00000
K148,5298,00000
K149,5299,00000
K200,53013,00000
K208,53019,00000
K209,53010,10000
K209,53012,10000
K210,53011,00000
K219,53081,00000
K220,5300,10000
K2210,53020,00000
K2211,53021,00000
K222,5303,00000
K223,5304,00000
K224,5305,00000
K225,5306,00000
K226,5307,00000
K2270,53085,10000
K22710,53085,10000
K22711,53085,10000
K22719,53085,10000
K228,53082,10000
K228,53083,10000
K228,53089,10000
K229,5309,00000
K23,53089,10000
K250,53100,10000
K251,53110,10000
K252,53120,10000
K253,53130,10000
K254,53140,10000
K255,53150,10000
K256,53160,10000
K257,53170,10000
K259,53190,10000
K260,53200,10000
K261,53210,10000
K262,53220,10000
K263,53230,10000
K264,53240,10000
K265,53250,10000
K266,53260,10000
K267,53270,10000
K269,53290,10000
K270,53300,10000
K271,53310,10000
K272,53320,10000
K273,53330,10000
K274,53340,10000
K275,53350,10000
K276,53360,10000
K277,53370,10000
K279,53390,10000
K280,53400,10000
K281,53410,10000
K282,53420,10000
K283,53430,10000
K284,53440,10000
K285,53450,10000
K286,53460,10000
K287,53470,10000
K289,53490,10000
K2900,53500,00000
K2901,53501,00000
K2920,53530,00000
K2921,53531,00000
K2930,53510,10000
K2930,53540,10000
K2931,53511,10000
K2931,53541,10000
K2940,53510,10000
K2941,53511,10000
K2950,53510,10000
K2951,53511,10000
K2960,53520,10000
K2960,53540,10000
K2961,53521,10000
K2961,53541,10000
K2970,53550,10000
K2971,53551,10000
K2980,53560,00000
K2981,53561,00000
K2990,53550,10000
K2991,53551,10000
K30,5368,00000
K310,5361,00000
K311,5370,00000
K312,5376,00000
K313,53781,00000
K314,5371,00000
K315,5372,10000
K315,5373,10000
K316,5374,00000
K317,2111,10000
K31811,53783,00000
K31819,53782,00000
K3182,53784,00000
K3183,5360,00000
K3184,5363,10000
K3189,5375,10000
K3189,53789,10000
K319,5369,10000
K319,5379,10000
K352,5400,00000
K353,5401,10000
K3580,5409,10000
K3589,5409,10000
K36,542,00000
K37,541,00000
K380,5430,00000
K381,5439,10000
K382,5439,10000
K383,5439,10000
K388,5439,10000
K389,5439,10000
K4000,55012,00000
K4001,55013,00000
K4010,55002,00000
K4011,55003,00000
K4020,55092,00000
K4021,55093,00000
K4030,55010,00000
K4031,55011,00000
K4040,55000,00000
K4041,55001,00000
K4090,55090,00000
K4091,55091,00000
K4100,55202,00000
K4101,55203,00000
K4110,55102,00000
K4111,55103,00000
K4120,55302,00000
K4121,55303,00000
K4130,55200,00000
K4131,55201,00000
K4140,55100,00000
K4141,55101,00000
K4190,55300,00000
K4191,55301,00000
K420,5521,00000
K421,5511,00000
K429,5531,00000
K430,55221,00000
K431,55121,00000
K432,55321,00000
K433,55229,10000
K434,55129,10000
K435,55329,10000
K436,55220,10000
K436,55229,10000
K437,55120,10000
K437,55129,10000
K439,55320,10000
K439,55329,10000
K440,5523,00000
K441,5513,00000
K449,5533,00000
K450,5528,00000
K451,5518,00000
K458,5538,00000
K460,5529,00000
K461,5519,00000
K469,55329,10000
K469,5539,10000
K5000,5550,10000
K50011,5550,10000
K50012,5550,10111
K50012,5609,10112
K50013,5550,10111
K50013,56981,10112
K50014,5550,10111
K50014,5695,10112
K50018,5550,10000
K50019,5550,10000
K5010,5551,10000
K50111,5551,10000
K50112,5551,10111
K50112,5609,10112
K50113,5551,10111
K50113,56981,10112
K50114,5551,10111
K50114,5695,10112
K50118,5551,10000
K50119,5551,10000
K5080,5552,10000
K50811,5552,10000
K50812,5552,10111
K50812,5609,10112
K50813,5552,10111
K50813,56981,10112
K50814,5552,10111
K50814,5695,10112
K50818,5552,10000
K50819,5552,10000
K5090,5559,10000
K50911,5559,10000
K50912,5559,10111
K50912,5609,10112
K50913,5559,10111
K50913,56981,10112
K50914,5559,10111
K50914,5695,10112
K50918,5559,10000
K50919,5559,10000
K5100,5566,10000
K51011,5566,10000
K51012,5566,10111
K51012,56089,10112
K51013,5566,10111
K51013,56981,10112
K51014,5566,10111
K51014,5695,10112
K51018,5566,10000
K51019,5566,10000
K5120,5562,10000
K51211,5562,10000
K51212,5562,10111
K51212,56089,10112
K51213,5562,10111
K51213,56981,10112
K51214,5562,10111
K51214,5695,10112
K51218,5562,10000
K51219,5562,10000
K5130,5563,10000
K51311,5563,10000
K51312,5563,10111
K51312,56089,10112
K51313,5563,10111
K51313,56981,10112
K51314,5563,10111
K51314,5695,10112
K51318,5563,10000
K51319,5563,10000
K5140,5564,10000
K51411,5564,10000
K51412,5564,10111
K51412,56089,10112
K51413,5564,10111
K51413,56981,10112
K51414,5564,10111
K51414,5695,10112
K51418,5564,10000
K51419,5564,10000
K5150,5565,10000
K51511,5565,10000
K51512,5565,10111
K51512,56089,10112
K51513,5565,10111
K51513,56981,10112
K51514,5565,10111
K51514,5695,10112
K51518,5565,10000
K51519,5565,10000
K5180,5568,10000
K51811,5568,10000
K51812,5568,10111
K51812,56089,10112
K51813,5568,10111
K51813,56981,10112
K51814,5568,10111
K51814,5695,10112
K51818,5568,10000
K51819,5568,10000
K5190,5569,10000
K51911,5569,10000
K51912,5569,10111
K51912,56089,10112
K51913,5569,10111
K51913,56981,10112
K51914,5569,10111
K51914,5695,10112
K51918,5569,10000
K51919,5569,10000
K520,5581,00000
K521,5582,00000
K5221,5583,10000
K5222,5583,10000
K5229,5583,10000
K5229,78791,10000
K523,5589,10000
K5281,53570,10000
K5281,53571,10000
K5281,55841,10000
K5282,55842,00000
K52831,5589,10000
K52832,5589,10000
K52838,5589,10000
K52839,5589,10000
K5289,5589,10000
K5289,78791,10000
K529,5589,10000
K55011,5570,10000
K55012,5570,10000
K55019,5570,10000
K55021,5570,10000
K55022,5570,10000
K55029,5570,10000
K55031,5570,10000
K55032,5570,10000
K55039,5570,10000
K55041,5570,10000
K55042,5570,10000
K55049,5570,10000
K55051,5570,10000
K55052,5570,10000
K55059,5570,10000
K55061,5570,10000
K55062,5570,10000
K55069,5570,10000
K551,5571,00000
K5520,56984,00000
K5521,56985,00000
K5530,5570,10000
K5531,5570,10000
K5532,5570,10000
K5533,5570,10000
K558,5579,10000
K559,5579,10000
K560,5601,10000
K561,5600,00000
K562,5602,00000
K563,56031,00000
K5641,56032,00000
K5649,56030,10000
K5649,56039,00000
K5650,56081,10000
K5651,56081,10000
K5652,56081,10000
K56600,5609,10000
K56601,5609,10000
K56609,5609,10000
K56690,56089,10000
K56691,56089,10000
K56699,56089,10000
K567,5601,10000
K5700,56201,10111
K5700,5695,10112
K5701,56203,10111
K5701,5695,10112
K5710,56200,10000
K5711,56202,10000
K5712,56201,10000
K5713,56203,10000
K5720,56211,10111
K5720,5695,10112
K5721,56213,10111
K5721,5695,10112
K5730,56210,10000
K5731,56212,10000
K5732,56211,10000
K5733,56213,10000
K5740,56201,10112
K5740,56211,10111
K5740,5695,10113
K5741,56203,10112
K5741,56213,10111
K5741,5695,10113
K5750,56200,10112
K5750,56210,10111
K5751,56202,10112
K5751,56212,10111
K5752,56201,10112
K5752,56211,10111
K5753,56203,10112
K5753,56213,10111
K5780,56211,10111
K5780,5695,10112
K5781,56213,10111
K5781,5695,10112
K5790,56210,10000
K5791,56212,10000
K5792,56211,10000
K5793,56213,10000
K580,5641,10000
K581,56409,10112
K581,5641,10111
K582,5641,10000
K588,5641,10000
K589,5641,10000
K5900,56400,00000
K5901,56401,00000
K5902,56402,00000
K5903,56409,10000
K5904,56409,10000
K5909,56409,10000
K591,5645,00000
K592,56481,00000
K5931,5569,10000
K5939,5647,10000
K594,5646,00000
K598,56489,00000
K599,5649,00000
K600,5650,10000
K601,5650,10000
K602,5650,10000
